year,"last_name, first_name",pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2021,"Sims, Lucas",608371,Reds,CIN,R,85.6,281,815,5.030864197530864,0.34478527607361964,SL,Slider,37.3,-35.5,1.8,5,7.7,5.2,2.5,49,0.673469388,0.7988338192419825
2021,"Foltynewicz, Mike",592314,Rangers,TEX,R,76.7,281,2236,13.802469135802468,0.12567084078711985,CU,Curveball,45.5,-56.9,-11.4,-20,10.3,9.6,0.7,7,0.004,0.62
2021,"Freeland, Kyle",607536,Rockies,COL,L,91.3,280,1886,11.714285714285714,0.14846235418875928,SI,Sinker,26.2,-23.6,2.6,11,12.3,-14.9,-2.6,-17,0.8189300411522634,0.098765432
2021,"Misiewicz, Anthony",664948,Mariners,SEA,L,80.7,280,894,5.518518518518518,0.3131991051454139,CU,Curveball,50.4,-51.5,-1,-2,11.1,8.6,2.4,28,0.356,0.768
2021,"Dunn, Justin",643290,Mariners,SEA,R,80.2,280,870,5.37037037,0.3218390804597701,CU,Curveball,42.7,-52.5,-9.8,-19,16.6,9.1,7.5,83,0.028,0.992
2021,"Sandlin, Nick",680704,Guardians,CLE,R,79.3,280,603,3.7222222222222223,0.46434494195688225,SL,Slider,36.7,-37.4,-0.7,-2,12.5,12.1,0.4,3,0.3965014577259475,0.597667638
2021,"Raley, Brooks",548384,Astros,HOU,L,87.6,280,865,5.339506172839506,0.3236994219653179,FC,Cutter,28.3,-27.9,-0.5,-2,4.2,2.5,1.7,71,0.47692307692307695,0.8076923076923077
2021,"Anderson, Chase",502624,Phillies,PHI,R,91.5,280,852,5.2592592592592595,0.3286384976525822,FF,4-Seam Fastball,15,-15.9,0.9,6,6.2,-7,-0.7,-11,0.7186761229314421,0.3806146572104019
2021,"Knehr, Reiss",663753,Padres,SD,R,93.5,280,513,3.1666666666666665,0.5458089668615984,FF,4-Seam Fastball,15.4,-15.4,-0.1,0,6.2,-7.7,-1.5,-20,0.5200945626477541,0.30260047281323876
2021,"Muller, Kyle",666205,Braves,ATL,L,93.4,280,677,4.204968944099379,0.413589365,FF,4-Seam Fastball,16.2,-14.6,-1.6,-11,6.5,-6.6,-0.1,-2,0.19621749408983452,0.46099290780141844
2021,"Espino, Paolo",502179,Nationals,WSH,R,77.5,280,1735,10.709876543209877,0.16138328530259366,ST,Sweeper,43.6,-45,-1.5,-3,18.2,17.5,0.7,4,0.3333333333333333,0.6296296296296297
2021,"Helsley, Ryan",664854,Cardinals,STL,R,88.2,279,805,4.969135802469136,0.34658385093167704,SL,Slider,29.7,-32.3,-2.6,-8,3.3,3.9,-0.6,-14,0.21282798833819241,0.4606413994169096
2021,"Jansen, Kenley",445276,Dodgers,LAD,R,93.9,279,1071,6.611111111111111,0.2605042016806723,SI,Sinker,11.9,-18.5,-6.7,-36,6.9,-13.1,-6.2,-47,0.008230453,0.008230453
2021,"Martin, Brett",656685,Rangers,TEX,L,93.1,278,918,5.666666666666667,0.3028322440087146,SI,Sinker,20.7,-20.3,0.3,2,15.4,-14.1,1.3,9,0.588477366,0.7283950617283951
2021,"Luetge, Lucas",476595,Yankees,NYY,L,81.3,278,1241,7.660493827160494,0.22401289282836423,SL,Slider,43,-40.9,2.1,5,9.1,6.8,2.3,33,0.717201166,0.793002915
2021,"Feyereisen, J.P.",656420,Rays,TB,R,86.3,277,987,6.092592592592593,0.2806484295845998,SL,Slider,35.3,-34.5,0.7,2,5.6,4.3,1.3,31,0.5539358600583091,0.7026239067055393
2021,"Scherzer, Max",453286,Dodgers,LAD,R,90,277,2821,17.41358024691358,0.09819213,FC,Cutter,24.9,-25.4,0.5,2,0.7,1.6,-2.3,-144,0.6307692307692307,0.17692307692307693
2021,"Scherzer, Max",453286,Dodgers,LAD,R,76.9,277,2821,17.41358024691358,0.09819213,CU,Curveball,54.4,-56.1,-1.8,-3,13.4,10.6,2.9,27,0.308,0.824
2021,"Lauer, Eric",641778,Brewers,MIL,L,78.8,276,1956,12.074074074074074,0.1411042944785276,CU,Curveball,50.4,-54.2,-3.9,-7,5.2,8.7,-3.5,-40,0.18,0.136
2021,"Garcia, Luis",677651,Astros,HOU,R,83.4,276,2502,15.444444444444445,0.11031175059952038,CH,Changeup,29.6,-31.4,-1.7,-5,16.1,-13.8,2.3,17,0.2975778546712803,0.8408304498269896
2021,"Castillo, Diego",650895,Mariners,SEA,R,94.6,276,936,5.777777777777778,0.2948717948717949,SI,Sinker,26.2,-23.4,2.7,12,18.2,-15.7,2.5,16,0.83127572,0.934156379
2021,"Rodón, Carlos",607074,White Sox,CWS,L,85.2,275,2219,13.697530864197532,0.12392969806219017,CH,Changeup,26.2,-28.9,-2.8,-10,13.5,-13.4,0.2,1,0.20069204152249134,0.4913494809688581
2021,"Brach, Brad",542960,Reds,CIN,R,93.6,275,579,3.574074074074074,0.4749568221070812,FF,4-Seam Fastball,16.8,-15.3,-1.5,-10,9,-7.5,1.4,19,0.20567375886524822,0.6359338061465721
2021,"Bickford, Phil",641360,Dodgers,LAD,R,84,274,776,4.790123456790123,0.35309278350515466,SL,Slider,37.6,-37.4,0.2,1,6.2,6.5,-0.3,-4,0.5072886297376094,0.4956268221574344
2021,"Britton, Zack",502154,Yankees,NYY,L,92.6,274,337,2.080246913580247,0.8130563798219584,SI,Sinker,27.6,-21.9,5.7,26,14.2,-14.3,-0.1,-1,,
2021,"May, Trevor",543507,Mets,NYM,R,84,274,1117,6.895061728395062,0.24529991047448524,SL,Slider,42.7,-37.3,5.4,14,5,5.9,-0.9,-15,0.9446064139941691,0.42565597667638483
